Date,Open,High,Low,Close,Adj Close,Volume
2023-07-26,1110.199951,1120.849976,1110.099976,1115.000000,1104.442505,1969964
2023-07-27,1115.000000,1122.699951,1108.949951,1117.349976,1106.770264,1769815
2023-07-28,1114.050049,1118.500000,1097.449951,1103.550049,1093.101074,2031899
2023-07-31,1108.000000,1119.500000,1096.000000,1116.699951,1106.126465,2526624
2023-08-01,1120.000000,1142.000000,1111.900024,1138.500000,1127.720093,2710536
2023-08-02,1137.000000,1137.000000,1121.500000,1130.900024,1120.192017,2701150
2023-08-03,1126.000000,1135.550049,1115.050049,1125.500000,1114.843140,1608187
2023-08-04,1130.449951,1152.349976,1126.000000,1144.349976,1133.514648,3315303
2023-08-07,1154.550049,1155.750000,1143.150024,1150.800049,1139.903687,1655404
2023-08-08,1154.900024,1156.900024,1137.000000,1141.349976,1130.543091,1667697
2023-08-09,1140.949951,1146.000000,1125.000000,1144.150024,1133.316528,1559337
2023-08-10,1140.000000,1144.800049,1128.650024,1134.300049,1123.559814,1676669
2023-08-11,1160.000000,1186.949951,1154.300049,1171.449951,1160.358032,7391806
2023-08-14,1170.650024,1177.000000,1154.000000,1171.000000,1159.912354,1720940
2023-08-16,1175.750000,1186.250000,1170.099976,1177.150024,1166.004150,2567226
2023-08-17,1176.849976,1180.949951,1163.949951,1176.699951,1165.558350,2331256
2023-08-18,1173.000000,1177.849976,1158.650024,1173.699951,1162.586670,3406088
2023-08-21,1172.949951,1188.900024,1168.949951,1179.250000,1168.084229,1661946
2023-08-22,1182.000000,1187.000000,1176.150024,1179.500000,1168.331787,1805887
2023-08-23,1192.949951,1195.000000,1178.650024,1182.500000,1171.303467,2347850
2023-08-24,1188.949951,1189.000000,1169.000000,1171.250000,1160.159912,2464221
2023-08-25,1165.000000,1170.800049,1150.000000,1153.949951,1143.023682,2105159
2023-08-28,1155.000000,1159.699951,1139.300049,1146.449951,1135.594727,2571967
2023-08-29,1153.900024,1163.300049,1148.300049,1157.550049,1146.589722,1794652
2023-08-30,1166.000000,1175.150024,1161.650024,1170.500000,1159.417114,1497356
2023-08-31,1179.500000,1188.099976,1165.900024,1172.150024,1161.051514,4483967
2023-09-01,1173.000000,1188.000000,1171.099976,1185.800049,1174.572266,1669640
2023-09-04,1186.000000,1235.000000,1185.000000,1232.500000,1220.829956,4517935
2023-09-05,1236.750000,1241.699951,1225.199951,1235.550049,1223.851196,2842400
2023-09-06,1239.849976,1242.400024,1222.699951,1235.849976,1224.148315,1767709
2023-09-07,1238.000000,1257.000000,1230.300049,1254.000000,1242.126465,2582004
2023-09-08,1259.000000,1269.550049,1254.300049,1262.050049,1250.100220,2280777
2023-09-11,1276.550049,1284.300049,1270.400024,1281.550049,1269.415649,2691836
2023-09-12,1285.000000,1291.750000,1265.500000,1282.400024,1270.257568,2140769
2023-09-13,1282.000000,1282.400024,1266.099976,1275.250000,1263.175171,2275523
2023-09-14,1280.849976,1290.699951,1275.599976,1283.599976,1271.446167,2655172
2023-09-15,1294.000000,1310.000000,1291.050049,1304.599976,1292.247314,4286280
2023-09-18,1302.000000,1311.300049,1289.699951,1305.000000,1292.643555,2761885
2023-09-20,1281.500000,1304.000000,1281.500000,1293.400024,1281.153442,2220756
2023-09-21,1284.000000,1285.000000,1259.300049,1278.000000,1265.899170,3112700
2023-09-22,1272.449951,1283.599976,1265.099976,1273.699951,1261.639893,1321467
2023-09-25,1270.000000,1280.000000,1256.599976,1263.449951,1251.486938,1246703
2023-09-26,1264.000000,1268.949951,1257.099976,1261.449951,1249.505859,903152
2023-09-27,1258.500000,1267.650024,1253.300049,1261.099976,1249.159180,1670373
2023-09-28,1261.099976,1266.000000,1238.550049,1241.900024,1230.140991,1807072
2023-09-29,1235.099976,1249.699951,1227.250000,1234.800049,1223.108276,2338327
2023-10-03,1232.500000,1256.699951,1222.699951,1238.699951,1226.971191,2162636
2023-10-04,1234.000000,1244.800049,1225.000000,1239.550049,1227.813354,2253785
2023-10-05,1249.000000,1253.949951,1227.800049,1235.449951,1223.752075,2995200
2023-10-06,1252.000000,1256.000000,1230.099976,1237.699951,1225.980713,2497711
2023-10-09,1236.000000,1266.650024,1231.150024,1249.599976,1237.768066,3430211
2023-10-10,1255.550049,1264.750000,1248.199951,1261.800049,1249.852661,1532394
2023-10-11,1266.000000,1274.449951,1241.000000,1245.599976,1233.805908,2186131
2023-10-12,1245.000000,1248.550049,1215.150024,1223.750000,1212.162842,3921609
2023-10-13,1211.000000,1266.500000,1208.550049,1255.900024,1244.008423,5740821
2023-10-16,1263.000000,1279.300049,1260.300049,1270.650024,1258.618774,2527113
2023-10-17,1278.900024,1279.000000,1271.000000,1277.150024,1265.057251,1687345
2023-10-18,1278.000000,1281.500000,1267.400024,1269.449951,1257.430054,1743126
2023-10-19,1266.800049,1274.750000,1264.900024,1267.349976,1255.349976,2279726
2023-10-20,1252.000000,1261.349976,1245.449951,1258.599976,1258.599976,1625449
2023-10-23,1248.000000,1260.500000,1232.300049,1236.650024,1236.650024,1646367
2023-10-25,1231.199951,1252.900024,1225.300049,1229.000000,1229.000000,1420065
2023-10-26,1215.000000,1238.199951,1212.050049,1231.800049,1231.800049,4617424
2023-10-27,1237.000000,1270.000000,1233.449951,1268.699951,1268.699951,2675348
2023-10-30,1270.000000,1274.800049,1256.000000,1264.750000,1264.750000,1158770
2023-10-31,1272.000000,1279.849976,1256.699951,1276.000000,1276.000000,2525870
2023-11-01,1280.000000,1285.949951,1255.300049,1258.949951,1258.949951,1572719
2023-11-02,1266.000000,1275.000000,1265.000000,1273.400024,1273.400024,1368604
2023-11-03,1282.599976,1287.300049,1263.000000,1266.250000,1266.250000,2052536
2023-11-06,1276.250000,1279.500000,1265.150024,1269.699951,1269.699951,1175823
2023-11-07,1269.000000,1277.699951,1267.099976,1273.949951,1273.949951,1385282
2023-11-08,1280.000000,1280.800049,1265.900024,1267.650024,1267.650024,937671
2023-11-09,1267.650024,1275.800049,1261.800049,1267.500000,1267.500000,1483749
2023-11-10,1262.300049,1271.000000,1250.650024,1255.449951,1255.449951,1469902
2023-11-13,1260.000000,1263.599976,1253.300049,1261.000000,1261.000000,730991
2023-11-15,1275.000000,1283.000000,1268.400024,1276.650024,1276.650024,2410620
2023-11-16,1283.800049,1317.949951,1278.000000,1311.050049,1311.050049,3936945
2023-11-17,1313.400024,1325.750000,1306.400024,1309.150024,1309.150024,2882039
2023-11-20,1314.949951,1331.699951,1314.000000,1325.400024,1325.400024,2831858
2023-11-21,1335.599976,1336.000000,1321.800049,1326.599976,1326.599976,1514256
2023-11-22,1326.599976,1335.750000,1320.400024,1329.699951,1329.699951,1535630
2023-11-23,1333.949951,1335.250000,1325.699951,1329.000000,1329.000000,1307344
2023-11-24,1328.900024,1332.650024,1305.650024,1309.150024,1309.150024,1795933
2023-11-28,1309.150024,1319.900024,1295.300049,1316.650024,1316.650024,2152951
2023-11-29,1324.000000,1338.800049,1321.500000,1333.949951,1333.949951,1835524
2023-11-30,1337.000000,1346.800049,1329.699951,1340.900024,1340.900024,4104385
2023-12-01,1346.000000,1349.000000,1328.000000,1336.699951,1336.699951,1854324
2023-12-04,1350.000000,1350.000000,1331.000000,1337.949951,1337.949951,1547057
